OS Benchmark experiment
Test Name:,13.0-RELEASE-p6,
       ref          kbest:,0.000000020,
       ref        average:,0.000000028,
       cpu          kbest:,0.002114017,
       cpu        average:,0.002176891,
    getpid          kbest:,0.000000024,
    getpid        average:,0.000000196,
context siwtch          kbest:,0.000002869,
context siwtch        average:,0.000003477,
      send          kbest:,0.000000003,
      send        average:,0.000000538,
      recv          kbest:,0.000000003,
      recv        average:,0.000000467,
  big send          kbest:,0.000000024,
  big send        average:,0.000005886,
  big recv          kbest:,0.000000024,
  big recv        average:,0.000006414,
      fork          kbest:,0.000000049,
      fork       average:,0.000135958,
      fork    Child kbest:,0.000000098,
      fork Child average:,0.000173733,
thr create          kbest:,0.000000024,
thr create       average:,0.000001743,
thr create    Child kbest:,0.000000074,
thr create Child average:,0.000002989,
  big fork          kbest:,0.000000049,
  big fork       average:,0.000197881,
  big fork    Child kbest:,0.000000098,
  big fork Child average:,0.000283732,
 huge fork          kbest:,0.000000049,
 huge fork       average:,0.000203553,
 huge fork    Child kbest:,0.000000098,
 huge fork Child average:,0.000279427,
small write          kbest:,0.000000098,
small write        average:,0.000002544,
small read          kbest:,0.000000049,
small read        average:,0.000001022,
small mmap          kbest:,0.000000024,
small mmap        average:,0.000000634,
small munmap          kbest:,0.000000024,
small munmap        average:,0.000001582,
small page fault          kbest:,0.000000024,
small page fault        average:,0.000000249,
 mid write          kbest:,0.000000123,
 mid write        average:,0.000005444,
  mid read          kbest:,0.000000246,
  mid read        average:,0.000005395,
  mid mmap          kbest:,0.000000024,
  mid mmap        average:,0.000001034,
mid munmap          kbest:,0.000000024,
mid munmap        average:,0.000003001,
mid page fault          kbest:,0.000000024,
mid page fault        average:,0.000000242,
 big write          kbest:,0.000320057,
 big write        average:,0.000696705,
  big read          kbest:,0.000624489,
  big read        average:,0.001226960,
  big mmap          kbest:,0.000000024,
  big mmap        average:,0.000001272,
big munmap          kbest:,0.000000024,
big munmap        average:,0.000162023,
big page fault          kbest:,0.000000024,
big page fault        average:,0.000000297,
huge write          kbest:,0.005238261,
huge write        average:,0.006519229,
 huge read          kbest:,0.010411222,
 huge read        average:,0.019754270,
 huge mmap          kbest:,0.000000024,
 huge mmap        average:,0.000004334,
huge munmap          kbest:,0.000343408,
huge munmap        average:,0.000905340,
huge page fault          kbest:,0.000000024,
huge page fault        average:,0.000000476,
    select          kbest:,0.000000024,
    select        average:,0.000001423,
      poll          kbest:,0.000000024,
      poll        average:,0.000001384,
    kqueue          kbest:,0.000000024,
    kqueue        average:,0.000003697,
select big          kbest:,0.000000024,
select big        average:,0.000089917,
  poll big          kbest:,0.000000024,
  poll big        average:,0.000081145,
kqueue big          kbest:,0.000000024,
kqueue big        average:,0.000276394,
